COUNTY,DEMOCRATS,REPUBLICANS,LIBERTARIANS,UNAFFILIATED,WHITE,BLACK,AMERICAN INDIAN,OTHER,HISPANIC,MALE,FEMALE,TOTAL,VOTED
PERSON,12473,6665,99,7708,18495,7371,118,961,268,12211,14421,26945,19601
PITT,57286,31711,659,33047,71990,42591,256,7866,2228,52666,65894,122703,79450
POLK,4631,5597,73,5776,14815,753,15,494,184,7344,8607,16077,10946
RANDOLPH,20199,46383,400,26288,82756,5933,289,4232,2351,43433,48930,93210,64459
RICHMOND,17407,5759,70,7434,18868,10196,421,1185,342,13851,16494,30670,19027
ROBESON,50796,9593,177,15455,23462,21812,26814,3933,1110,33109,42455,76021,40031
ROCKINGHAM,23961,20697,199,15859,46111,12141,122,2342,721,27871,32831,60716,41949
ROWAN,29173,38490,335,27199,74002,16899,184,4112,1541,43921,50252,95197,63976
RUTHERFORD,15872,16411,189,12596,38493,4607,69,1899,501,20440,23696,45068,30225
SAMPSON,16753,13741,98,7242,23133,11629,561,2511,1455,16870,20553,37834,25931
SCOTLAND,13344,3726,46,5855,11114,9267,1583,1007,177,9781,12819,22971,13908
STANLY,11604,17871,114,11303,34700,4395,78,1716,263,18853,21342,40892,29817
STOKES,8173,15059,153,7903,29017,1350,63,858,273,14752,16497,31288,31214
SURRY,14673,19094,125,11975,41915,1817,69,2066,931,20731,24448,45867,32154
SWAIN,4177,2677,33,3688,8333,123,1870,249,53,5000,5551,10575,6182
TRANSYLVANIA,7056,8278,116,10090,23641,955,54,890,172,11728,13377,25540,17858
TYRRELL,1469,348,7,657,1580,799,8,94,29,1139,1320,2481,1728
UNION,39875,63444,619,47017,121015,18576,391,10973,4982,70666,78415,150955,105555
VANCE,20209,4425,61,5562,13060,15892,51,1254,377,13261,16483,30257,19961
WAKE,266039,188949,4215,245890,466519,14111,1779,95684,21519,314830,360488,705093,523637
WARREN,9582,1768,31,2347,5426,7247,595,460,52,6208,7348,13728,10251
WASHINGTON,5965,1118,24,1654,4022,4406,10,323,44,3880,4792,8761,6164
WATAUGA,12640,14308,483,18894,42831,992,71,2431,943,21677,24083,46325,29807
WAYNE,33523,24327,274,18084,44583,25755,154,5716,1954,33544,40571,76208,50488
WILKES,10353,22089,119,10451,40146,1740,36,1090,591,20025,22438,43012,31314
WILSON,30222,13932,135,12289,29565,23620,97,3296,989,24849,30693,56578,38040
YADKIN,4303,13409,70,6360,22523,760,34,825,526,11286,12516,24142,17662
YANCEY,5293,4918,42,3709,13580,87,22,273,67,6586,7207,13962,10147
,2733188,2086942,32333,2065687,4799695,1536117,56634,525704,166964,3096349,3663903,6918150,
